protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
event-disjoint target,hgb_direct,HGB direct,0.005,1,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.06599184782608696
event-disjoint target,hgb_direct,HGB direct,0.005,2,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.06683197463768116
event-disjoint target,hgb_direct,HGB direct,0.005,5,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.06935235507246378
event-disjoint target,hgb_direct,HGB direct,0.005,10,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.07355298913043479
event-disjoint target,hgb_direct,HGB direct,0.005,25,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.08615489130434784
event-disjoint target,hgb_direct,HGB direct,0.005,50,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.10715806159420291
event-disjoint target,hgb_direct,HGB direct,0.005,100,8,0.06770833333333334,0.0008401268115942029,0.06515172101449276,0.14916440217391302
event-disjoint target,hgb_direct,HGB direct,0.0075,1,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.035707653985507244
event-disjoint target,hgb_direct,HGB direct,0.0075,2,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.036959352355072465
event-disjoint target,hgb_direct,HGB direct,0.0075,5,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.040714447463768115
event-disjoint target,hgb_direct,HGB direct,0.0075,10,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.0469729393115942
event-disjoint target,hgb_direct,HGB direct,0.0075,25,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.06574841485507246
event-disjoint target,hgb_direct,HGB direct,0.0075,50,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.0970408740942029
event-disjoint target,hgb_direct,HGB direct,0.0075,100,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.15962579257246376
event-disjoint target,hgb_direct,HGB direct,0.01,1,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.022727581521739128
event-disjoint target,hgb_direct,HGB direct,0.01,2,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.026014492753623185
event-disjoint target,hgb_direct,HGB direct,0.01,5,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.03587522644927536
event-disjoint target,hgb_direct,HGB direct,0.01,10,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.05230978260869565
event-disjoint target,hgb_direct,HGB direct,0.01,25,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.10161345108695652
event-disjoint target,hgb_direct,HGB direct,0.01,50,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.18378623188405796
event-disjoint target,hgb_direct,HGB direct,0.01,100,8,0.017844202898550723,0.003286911231884058,0.01944067028985507,0.3481317934782609
event-disjoint target,hgb_direct,HGB direct,0.015,1,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.016381340579710146
event-disjoint target,hgb_direct,HGB direct,0.015,2,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.017514153079710146
event-disjoint target,hgb_direct,HGB direct,0.015,5,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.020912590579710146
event-disjoint target,hgb_direct,HGB direct,0.015,10,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.026576653079710147
event-disjoint target,hgb_direct,HGB direct,0.015,25,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.043568840579710146
event-disjoint target,hgb_direct,HGB direct,0.015,50,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.07188915307971014
event-disjoint target,hgb_direct,HGB direct,0.015,100,8,0.0029211956521739127,0.0011328125,0.015248528079710146,0.12852977807971014
event-disjoint target,hgb_direct,HGB direct,0.02,1,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,2,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,5,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,10,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,25,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,50,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.02,100,8,0.0,0.0,0.009442934782608695,0.009442934782608695
event-disjoint target,hgb_direct,HGB direct,0.03,1,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,2,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,5,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,10,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,25,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,50,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.03,100,8,0.0,0.0,0.0008152173913043478,0.0008152173913043478
event-disjoint target,hgb_direct,HGB direct,0.04,1,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,2,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,5,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,10,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,25,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,50,8,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,100,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.005,1,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.06049705615942028
event-disjoint target,lgbm_direct,LGBM direct,0.005,2,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.06132019927536232
event-disjoint target,lgbm_direct,LGBM direct,0.005,5,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.0637896286231884
event-disjoint target,lgbm_direct,LGBM direct,0.005,10,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.06790534420289854
