protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
event-disjoint target,xgb_direct,XGB direct,0.005,1,8,0.06770833333333334,0.0019752038043478262,0.04842844202898551,0.05040364583333333
event-disjoint target,xgb_direct,XGB direct,0.005,2,8,0.06770833333333334,0.0019752038043478262,0.04842844202898551,0.05237884963768116
event-disjoint target,xgb_direct,XGB direct,0.005,5,8,0.06770833333333334,0.0019752038043478262,0.04842844202898551,0.058304461050724635
event-disjoint target,lgbm_direct,LGBM direct,0.005,10,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.06790534420289854
event-disjoint target,lgbm_direct,LGBM direct,0.005,25,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.08025249094202899
event-disjoint target,lgbm_direct,LGBM direct,0.005,50,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.1008310688405797
event-disjoint target,lgbm_direct,LGBM direct,0.005,100,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.14198822463768118
event-disjoint target,xgb_direct,XGB direct,0.0075,1,8,0.03549592391304348,0.004405570652173913,0.02213201992753623,0.02653759057971014
event-disjoint target,xgb_direct,XGB direct,0.0075,2,8,0.03549592391304348,0.004405570652173913,0.02213201992753623,0.030943161231884057
event-disjoint target,lgbm_direct,LGBM direct,0.0075,5,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.03763756793478261
event-disjoint target,lgbm_direct,LGBM direct,0.0075,10,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.04558593750000001
event-disjoint target,hgb_direct,HGB direct,0.0075,25,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.06574841485507246
event-disjoint target,hgb_direct,HGB direct,0.0075,50,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.0970408740942029
event-disjoint target,hgb_direct,HGB direct,0.0075,100,8,0.03549592391304348,0.0012516983695652173,0.03445595561594203,0.15962579257246376
