protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
event-disjoint target,hgb_direct,HGB direct,0.005,1,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.11768048128342247
event-disjoint target,hgb_direct,HGB direct,0.005,2,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.11908422459893049
event-disjoint target,hgb_direct,HGB direct,0.005,5,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.12329545454545454
event-disjoint target,hgb_direct,HGB direct,0.005,10,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.13031417112299468
event-disjoint target,hgb_direct,HGB direct,0.005,25,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.15137032085561497
event-disjoint target,hgb_direct,HGB direct,0.005,50,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.1864639037433155
event-disjoint target,hgb_direct,HGB direct,0.005,100,187,0.09959893048128342,0.0014037433155080212,0.11627673796791443,0.25665106951871663
event-disjoint target,hgb_direct,HGB direct,0.0075,1,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.05858957219251337
event-disjoint target,hgb_direct,HGB direct,0.0075,2,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.060995989304812835
event-disjoint target,hgb_direct,HGB direct,0.0075,5,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.06821524064171124
event-disjoint target,hgb_direct,HGB direct,0.0075,10,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.08024732620320857
event-disjoint target,hgb_direct,HGB direct,0.0075,25,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.11634358288770054
event-disjoint target,hgb_direct,HGB direct,0.0075,50,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.17650401069518717
event-disjoint target,hgb_direct,HGB direct,0.0075,100,187,0.053475935828877004,0.002406417112299465,0.056183155080213903,0.2968248663101604
event-disjoint target,hgb_direct,HGB direct,0.01,1,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.029411764705882353
event-disjoint target,hgb_direct,HGB direct,0.01,2,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.036397058823529414
event-disjoint target,hgb_direct,HGB direct,0.01,5,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.05735294117647058
event-disjoint target,hgb_direct,HGB direct,0.01,10,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.09227941176470589
event-disjoint target,hgb_direct,HGB direct,0.01,25,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.19705882352941176
event-disjoint target,hgb_direct,HGB direct,0.01,50,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.3716911764705882
event-disjoint target,hgb_direct,HGB direct,0.01,100,187,0.03074866310160428,0.006985294117647058,0.02242647058823529,0.7209558823529412
event-disjoint target,hgb_direct,HGB direct,0.015,1,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.018014705882352943
event-disjoint target,hgb_direct,HGB direct,0.015,2,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.020922459893048133
event-disjoint target,hgb_direct,HGB direct,0.015,5,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.029645721925133692
event-disjoint target,hgb_direct,HGB direct,0.015,10,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.04418449197860962
event-disjoint target,hgb_direct,HGB direct,0.015,25,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.08780080213903743
event-disjoint target,hgb_direct,HGB direct,0.015,50,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.1604946524064171
event-disjoint target,hgb_direct,HGB direct,0.015,100,187,0.0053475935828877,0.0029077540106951876,0.015106951871657755,0.3058823529411765
event-disjoint target,hgb_direct,HGB direct,0.02,1,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,2,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,5,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,10,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,25,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,50,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.02,100,187,0.0,0.0,0.00929144385026738,0.00929144385026738
event-disjoint target,hgb_direct,HGB direct,0.03,1,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,2,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,5,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,10,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,25,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,50,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.03,100,187,0.0,0.0,0.0008021390374331551,0.0008021390374331551
event-disjoint target,hgb_direct,HGB direct,0.04,1,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,2,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,5,187,0.0,0.0,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,10,187,0.0,0.0,0.0,0.0
