protocol,model,model_label,threshold_idr,event_count,true_exceed_rate,false_safe_rate,beta_false_safe,false_unsafe_rate,worst_event_false_safe_rate,p90_event_false_safe_rate
event-disjoint target,hgb_direct,HGB direct,0.005,8,0.06770833333333334,0.0008401268115942029,3.141603582696818,0.06515172101449276,0.0038043478260869567,0.0024538043478260865
event-disjoint target,hgb_direct,HGB direct,0.0075,8,0.03549592391304348,0.0012516983695652173,3.0229305672851665,0.03445595561594203,0.004270833333333333,0.004134510869565217
event-disjoint target,hgb_direct,HGB direct,0.01,8,0.017844202898550723,0.003286911231884058,2.717695910954537,0.01944067028985507,0.015416666666666667,0.00976086956521739
event-disjoint target,hgb_direct,HGB direct,0.015,8,0.0029211956521739127,0.0011328125,3.053004554049756,0.015248528079710146,0.007291666666666667,0.0034270833333333323
event-disjoint target,hgb_direct,HGB direct,0.02,8,0.0,0.0,4.753424308822899,0.009442934782608695,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.03,8,0.0,0.0,4.753424308822899,0.0008152173913043478,0.0,0.0
event-disjoint target,hgb_direct,HGB direct,0.04,8,0.0,0.0,4.753424308822899,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.005,8,0.06770833333333334,0.000823143115942029,3.1475789824657303,0.05967391304347826,0.004166666666666667,0.0025624999999999997
event-disjoint target,lgbm_direct,LGBM direct,0.0075,8,0.03549592391304348,0.0015896739130434783,2.949843644496103,0.02968919836956522,0.0084375,0.004433423913043477
event-disjoint target,lgbm_direct,LGBM direct,0.01,8,0.017844202898550723,0.003127264492753623,2.7341302912406475,0.0201856884057971,0.016458333333333332,0.008741847826086955
event-disjoint target,lgbm_direct,LGBM direct,0.015,8,0.0029211956521739127,0.0010026041666666668,3.089459811288216,0.014461616847826085,0.006666666666666667,0.002947916666666666
event-disjoint target,lgbm_direct,LGBM direct,0.02,8,0.0,0.0,4.753424308822899,0.008491847826086956,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.03,8,0.0,0.0,4.753424308822899,0.0007133152173913043,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,8,0.0,0.0,4.753424308822899,0.0,0.0,0.0
event-disjoint target,pretrained_finetune,MLP finetune,0.005,8,0.06770833333333334,0.002774003623188406,2.773363721206902,0.11374264039855071,0.010520833333333333,0.008482336956521739
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,8,0.03549592391304348,0.004095901268115942,2.644060447963316,0.0885546875,0.014479166666666666,0.012332880434782608
event-disjoint target,pretrained_finetune,MLP finetune,0.01,8,0.017844202898550723,0.004206861413043479,2.6350002214520996,0.06568104619565218,0.015625,0.01103125
event-disjoint target,pretrained_finetune,MLP finetune,0.015,8,0.0029211956521739127,0.0008316349637681158,3.1445772479569185,0.03632642663043478,0.002395833333333333,0.0022404891304347824
event-disjoint target,pretrained_finetune,MLP finetune,0.02,8,0.0,0.0,4.753424308822899,0.024044950181159423,0.0,0.0
event-disjoint target,pretrained_finetune,MLP finetune,0.03,8,0.0,0.0,4.753424308822899,0.011731204710144928,0.0,0.0
event-disjoint target,pretrained_finetune,MLP finetune,0.04,8,0.0,0.0,4.753424308822899,0.006153759057971015,0.0,0.0
event-disjoint target,rf_direct,RF direct,0.005,8,0.06770833333333334,0.0020437047101449276,2.871335899041218,0.06475317028985507,0.007083333333333333,0.005548913043478261
event-disjoint target,rf_direct,RF direct,0.0075,8,0.03549592391304348,0.004111752717391304,2.6427527830625293,0.033982676630434784,0.016041666666666666,0.013182065217391304
event-disjoint target,rf_direct,RF direct,0.01,8,0.017844202898550723,0.0048312952898550724,2.587675691602357,0.0226075634057971,0.023958333333333335,0.012513586956521737
event-disjoint target,rf_direct,RF direct,0.015,8,0.0029211956521739127,0.0011848958333333334,3.039489876858284,0.018194633152173914,0.007604166666666667,0.003593749999999999
event-disjoint target,rf_direct,RF direct,0.02,8,0.0,0.0,4.753424308822899,0.012907608695652174,0.0,0.0
event-disjoint target,rf_direct,RF direct,0.03,8,0.0,0.0,4.753424308822899,0.0024456521739130437,0.0,0.0
event-disjoint target,rf_direct,RF direct,0.04,8,0.0,0.0,4.753424308822899,0.00033967391304347825,0.0,0.0
event-disjoint target,ridge_direct,Ridge direct,0.005,8,0.06770833333333334,0.0036288496376811596,2.6847826224273557,0.17852411684782607,0.021739130434782608,0.011625905797101446
event-disjoint target,ridge_direct,Ridge direct,0.0075,8,0.03549592391304348,0.003138586956521739,2.732940141706065,0.13697916666666665,0.02010869565217391,0.009532608695652171
event-disjoint target,ridge_direct,Ridge direct,0.01,8,0.017844202898550723,0.0015772192028985508,2.9522730654587623,0.11554291213768116,0.010326086956521738,0.004701992753623187
event-disjoint target,ridge_direct,Ridge direct,0.015,8,0.0029211956521739127,9.114583333333334e-05,3.742371621066093,0.08564368206521739,0.0007291666666666667,0.00021874999999999987
event-disjoint target,ridge_direct,Ridge direct,0.02,8,0.0,0.0,4.753424308822899,0.06152966485507246,0.0,0.0
event-disjoint target,ridge_direct,Ridge direct,0.03,8,0.0,0.0,4.753424308822899,0.034681272644927534,0.0,0.0
event-disjoint target,ridge_direct,Ridge direct,0.04,8,0.0,0.0,4.753424308822899,0.0233401268115942,0.0,0.0
event-disjoint target,scratch_mlp,MLP scratch,0.005,8,0.06770833333333334,0.015836730072463768,2.14850751367418,0.0622950634057971,0.090625,0.046019021739130424
event-disjoint target,scratch_mlp,MLP scratch,0.0075,8,0.03549592391304348,0.009662590579710145,2.3391981429473985,0.058833220108695655,0.06072916666666667,0.02887092391304347
event-disjoint target,scratch_mlp,MLP scratch,0.01,8,0.017844202898550723,0.006096580615942029,2.5065041906219263,0.051205842391304345,0.0471875,0.014885416666666658
event-disjoint target,scratch_mlp,MLP scratch,0.015,8,0.0029211956521739127,0.0013700181159420292,2.9954907372454014,0.03319916213768116,0.0103125,0.003474184782608694
event-disjoint target,scratch_mlp,MLP scratch,0.02,8,0.0,0.0,4.753424308822899,0.02023041213768116,0.0,0.0
event-disjoint target,scratch_mlp,MLP scratch,0.03,8,0.0,0.0,4.753424308822899,0.007791553442028986,0.0,0.0
event-disjoint target,scratch_mlp,MLP scratch,0.04,8,0.0,0.0,4.753424308822899,0.0034222146739130437,0.0,0.0
event-disjoint target,xgb_direct,XGB direct,0.005,8,0.06770833333333334,0.0019752038043478262,2.8820948800514716,0.04842844202898551,0.008958333333333334,0.005385416666666666
event-disjoint target,xgb_direct,XGB direct,0.0075,8,0.03549592391304348,0.004405570652173913,2.619296164713598,0.02213201992753623,0.018229166666666668,0.013077445652173912
event-disjoint target,xgb_direct,XGB direct,0.01,8,0.017844202898550723,0.004714107789855072,2.5961235527726787,0.0165721240942029,0.023958333333333335,0.012513586956521737
event-disjoint target,xgb_direct,XGB direct,0.015,8,0.0029211956521739127,0.0010026041666666666,3.0894598112882163,0.013731884057971013,0.006145833333333333,0.0031562499999999993
event-disjoint target,xgb_direct,XGB direct,0.02,8,0.0,0.0,4.753424308822899,0.008543931159420289,0.0,0.0
event-disjoint target,xgb_direct,XGB direct,0.03,8,0.0,0.0,4.753424308822899,0.00033967391304347825,0.0,0.0
event-disjoint target,xgb_direct,XGB direct,0.04,8,0.0,0.0,4.753424308822899,0.0,0.0,0.0
main event-held-out,hgb_direct,HGB direct,0.005,14,0.10843609515484516,0.003093612117049617,2.7376906686747735,0.05179968654857048,0.014903846153846155,0.008590198863636364
main event-held-out,hgb_direct,HGB direct,0.0075,14,0.06106155749012892,0.0032174075924075924,2.7247604691781127,0.03858008249191285,0.021634615384615384,0.010166666666666668
main event-held-out,hgb_direct,HGB direct,0.01,14,0.03371093192521764,0.002186667499167499,2.849897284318131,0.040889805878645165,0.012980769230769231,0.008039772727272732
main event-held-out,hgb_direct,HGB direct,0.015,14,0.00999878098092384,0.0014071939964797105,2.9873158402413513,0.028287382260596548,0.014204545454545454,0.0020909090909090916
main event-held-out,hgb_direct,HGB direct,0.02,14,0.003382034632034632,0.0010262059369202227,3.082541388472747,0.010284640954283813,0.009821428571428571,0.0031818181818181867
main event-held-out,hgb_direct,HGB direct,0.03,14,0.0008503401360544217,0.0005952380952380952,3.2411521655173545,0.0011182270110841538,0.008333333333333333,0.0
main event-held-out,hgb_direct,HGB direct,0.04,14,0.00021258503401360543,0.00021258503401360543,3.5239465113835937,0.0,0.002976190476190476,0.0
main event-held-out,lgbm_direct,LGBM direct,0.005,14,0.10843609515484516,0.0013258616383616385,3.0054681938125616,0.052311332640573714,0.004545454545454545,0.004335664335664336
main event-held-out,lgbm_direct,LGBM direct,0.0075,14,0.06106155749012892,0.0025325715950715957,2.8028613978570505,0.03694144768921554,0.016346153846153847,0.0077897727272727285
main event-held-out,lgbm_direct,LGBM direct,0.01,14,0.03371093192521764,0.0021486846486846486,2.8554662279700826,0.03972380298273155,0.015384615384615385,0.006136363636363639
main event-held-out,lgbm_direct,LGBM direct,0.015,14,0.00999878098092384,0.0009572124304267161,3.103196493956064,0.028825608914894628,0.009943181818181818,0.0013825757575757578
main event-held-out,lgbm_direct,LGBM direct,0.02,14,0.003382034632034632,0.0009421382189239332,3.1078908526341453,0.01022581585081585,0.008928571428571428,0.00298295454545455
main event-held-out,lgbm_direct,LGBM direct,0.03,14,0.0008503401360544217,0.0007653061224489796,3.168816069060681,0.0007227891156462586,0.010714285714285714,0.0
main event-held-out,lgbm_direct,LGBM direct,0.04,14,0.00021258503401360543,0.00021258503401360543,3.5239465113835937,0.0,0.002976190476190476,0.0
main event-held-out,pretrained_finetune,MLP finetune,0.005,14,0.10843609515484516,0.0035884149332810053,2.6885257571741246,0.09296722994267638,0.03317307692307692,0.006541666666666668
main event-held-out,pretrained_finetune,MLP finetune,0.0075,14,0.06106155749012892,0.00432878133770991,2.625288302480749,0.06753904577565292,0.047115384615384615,0.006524621212121215
main event-held-out,pretrained_finetune,MLP finetune,0.01,14,0.03371093192521764,0.0027536005661005663,2.775764924497359,0.057010181039198894,0.023076923076923078,0.0060303030303030325
main event-held-out,pretrained_finetune,MLP finetune,0.015,14,0.00999878098092384,0.0008540417915417917,3.1367901086525505,0.04413864781052281,0.005965909090909091,0.0029070512820512824
main event-held-out,pretrained_finetune,MLP finetune,0.02,14,0.003382034632034632,0.00010146103896103897,3.7153506702048036,0.03294239800378194,0.0014204545454545455,0.0
main event-held-out,pretrained_finetune,MLP finetune,0.03,14,0.0008503401360544217,0.0,4.753424308822899,0.01962964119214119,0.0,0.0
main event-held-out,pretrained_finetune,MLP finetune,0.04,14,0.00021258503401360543,0.0,4.753424308822899,0.013185073854716711,0.0,0.0
main event-held-out,rf_direct,RF direct,0.005,14,0.10843609515484516,0.002095716783216783,2.8633831676877093,0.0569418490735455,0.013942307692307693,0.007886363636363643
main event-held-out,rf_direct,RF direct,0.0075,14,0.06106155749012892,0.005045118571904286,2.5727214825258073,0.040451477465986395,0.027403846153846154,0.0152594696969697
main event-held-out,rf_direct,RF direct,0.01,14,0.03371093192521764,0.003068508872080301,2.7403693405768936,0.03746808251272537,0.013636363636363636,0.011756993006993012
main event-held-out,rf_direct,RF direct,0.015,14,0.00999878098092384,0.0021291357452071736,2.8583673183628,0.027259184268112836,0.02471590909090909,0.0022310606060606075
main event-held-out,rf_direct,RF direct,0.02,14,0.003382034632034632,0.0009798237476808904,3.0962807098982275,0.01585268897768898,0.008035714285714285,0.003977272727272734
main event-held-out,rf_direct,RF direct,0.03,14,0.0008503401360544217,0.0007227891156462586,3.1853924531890856,0.002632783882783883,0.01011904761904762,0.0
main event-held-out,rf_direct,RF direct,0.04,14,0.00021258503401360543,0.00021258503401360543,3.5239465113835937,0.0005952380952380952,0.002976190476190476,0.0
main event-held-out,ridge_direct,Ridge direct,0.005,14,0.10843609515484516,0.0033940111228057657,2.7070686329384928,0.0637100343852576,0.015865384615384615,0.014035274621212127
main event-held-out,ridge_direct,Ridge direct,0.0075,14,0.06106155749012892,0.002527680652680653,2.803484813309867,0.049797836092478946,0.023076923076923078,0.008617424242424255
main event-held-out,ridge_direct,Ridge direct,0.01,14,0.03371093192521764,0.0019407675657675658,2.8876321528821913,0.050487057585271874,0.01826923076923077,0.006231060606060615
main event-held-out,ridge_direct,Ridge direct,0.015,14,0.00999878098092384,0.00012175324675324675,3.668994314941162,0.046586285738071456,0.0017045454545454545,0.0
main event-held-out,ridge_direct,Ridge direct,0.02,14,0.003382034632034632,0.0,4.753424308822899,0.037596302507016795,0.0,0.0
main event-held-out,ridge_direct,Ridge direct,0.03,14,0.0008503401360544217,0.0,4.753424308822899,0.021883993982208267,0.0,0.0
main event-held-out,ridge_direct,Ridge direct,0.04,14,0.00021258503401360543,0.0,4.753424308822899,0.01432977736549165,0.0,0.0
main event-held-out,scratch_mlp,MLP scratch,0.005,14,0.10843609515484516,0.0007183850375814661,3.1871605291821976,0.1163648721070596,0.00390625,0.0023076923076923083
main event-held-out,scratch_mlp,MLP scratch,0.0075,14,0.06106155749012892,0.0012568383996955426,3.0216901824589812,0.09180444927096713,0.007211538461538462,0.004660714285714287
main event-held-out,scratch_mlp,MLP scratch,0.01,14,0.03371093192521764,0.0014552411873840446,2.977037679824194,0.07959012713477,0.006547619047619048,0.00625
main event-held-out,scratch_mlp,MLP scratch,0.015,14,0.00999878098092384,0.0009541351505637219,3.1041492671911866,0.059931482208267925,0.007142857142857143,0.002431818181818182
main event-held-out,scratch_mlp,MLP scratch,0.02,14,0.003382034632034632,0.00046672077922077927,3.3098554721958946,0.04439347854526426,0.00625,0.00019886363636363667
main event-held-out,scratch_mlp,MLP scratch,0.03,14,0.0008503401360544217,0.0001488095238095238,3.6173636283356583,0.022185403881832454,0.0020833333333333333,0.0
main event-held-out,scratch_mlp,MLP scratch,0.04,14,0.00021258503401360543,6.377551020408162e-05,3.8311397653529595,0.011325029137529138,0.0008928571428571428,0.0
main event-held-out,xgb_direct,XGB direct,0.005,14,0.10843609515484516,0.002273455710955711,2.8374946119837574,0.044656400147471575,0.00909090909090909,0.008417832167832168
main event-held-out,xgb_direct,XGB direct,0.0075,14,0.06106155749012892,0.0036947427572427576,2.678762187236866,0.033003663003662996,0.020192307692307693,0.011619318181818182
main event-held-out,xgb_direct,XGB direct,0.01,14,0.03371093192521764,0.0031387511298225585,2.732922913236835,0.033517479544265254,0.016761363636363637,0.012701048951048961
main event-held-out,xgb_direct,XGB direct,0.015,14,0.00999878098092384,0.0019472789115646256,2.886578337342006,0.026441400861043716,0.023579545454545454,0.0019109848484848502
main event-held-out,xgb_direct,XGB direct,0.02,14,0.003382034632034632,0.0010242733457019172,3.0831023742206227,0.013763290281147426,0.009226190476190476,0.0035795454545454602
main event-held-out,xgb_direct,XGB direct,0.03,14,0.0008503401360544217,0.000510204081632653,3.284838573645045,0.003506017791732078,0.007142857142857143,0.0
main event-held-out,xgb_direct,XGB direct,0.04,14,0.00021258503401360543,0.00017006802721088437,3.5826424277673,0.000902668759811617,0.002380952380952381,0.0
