protocol,model,model_label,event_count,between_event_residual_var,within_event_residual_var,between_event_share,p90_abs_event_mean_residual,mean_event_rmse
event-disjoint target,scratch_mlp,MLP scratch,8,0.22370036637115306,0.18003847052578315,0.5540719542624972,0.7411024713836168,0.47560436072870743
event-disjoint target,ridge_direct,Ridge direct,8,0.03811045177774466,0.044525147526825,0.46118685044300506,0.4632544411102759,0.37638770374613517
event-disjoint target,rf_direct,RF direct,8,0.018741146931712933,0.02319426146951811,0.4469050772655114,0.200348646288913,0.19531041128779844
event-disjoint target,xgb_direct,XGB direct,8,0.011073342637287776,0.017614568244755054,0.38599334342672975,0.15861085104173916,0.1615280143857552
event-disjoint target,hgb_direct,HGB direct,8,0.012674551471186766,0.020240410668493726,0.3850696050446618,0.17223758723396865,0.17485000253156846
event-disjoint target,lgbm_direct,LGBM direct,8,0.010467561139573908,0.019070701555472438,0.3543729449372576,0.16633172677058963,0.16575371260734595
event-disjoint target,pretrained_finetune,MLP finetune,8,0.011407041202424277,0.06349210112037858,0.15229868925950882,0.15446451426209418,0.24351723252395796
main event-held-out,ridge_direct,Ridge direct,14,0.02876659224295043,0.032120302818446404,0.47245950403519366,0.32873757652878866,0.23504134478696223
main event-held-out,hgb_direct,HGB direct,14,0.01113024967459817,0.018783592370585685,0.3720769019835801,0.1770187386512596,0.16723833076315825
main event-held-out,lgbm_direct,LGBM direct,14,0.01017948144265803,0.01745686226242569,0.36833676521346453,0.17749631260831633,0.16079720561991873
main event-held-out,rf_direct,RF direct,14,0.010613835334100276,0.020617918910031143,0.33984115176926577,0.17248133818065087,0.16986790520102146
main event-held-out,xgb_direct,XGB direct,14,0.008851951965745312,0.017574411445268688,0.3349667083612416,0.1432122958470767,0.15630527183300863
main event-held-out,pretrained_finetune,MLP finetune,14,0.011436141633132963,0.025110474671940254,0.3129193011377487,0.15806870822799446,0.1823538308690845
main event-held-out,scratch_mlp,MLP scratch,14,0.007755378426479536,0.02518054791184618,0.23546865956689458,0.16433644945681633,0.1829849266338178
