analysis,model,model_label,target_label_budget,interval_level,beta_false_safe_cons_median,beta_false_safe_cons_p05,beta_false_safe_cons_p95,p_false_safe_median,p_false_safe_p05,p_false_safe_p95,p_false_unsafe_median,p_false_unsafe_p05,p_false_unsafe_p95,rmse_log_median,rmse_log_p05,rmse_log_p95,q_value_log_median,q_value_log_p05,q_value_log_p95,replicate_count,gate
interval widening at N=2000,lgbm_direct,LGBM direct,2000,0.9,2.3621898946212903,2.281737561883581,2.431056819922406,0.0048743206521739135,0.00396286231884058,0.005811820652173913,0.011809329710144928,0.010122282608695653,0.01395720108695652,0.15764687252912626,0.14856114686742378,0.16286087339788613,0.1209317351523342,0.11722575370827039,0.12469503842826911,10,Fail
interval widening at N=2000,lgbm_direct,LGBM direct,2000,0.95,2.434863935524033,2.338117228642179,2.535934374650495,0.00396286231884058,0.0029797894021739127,0.004770153985507246,0.014945652173913044,0.012839673913043479,0.018654042119565218,0.15764687252912626,0.14856114686742378,0.16286087339788613,0.14727545490177757,0.14093498845902291,0.16334331705276733,10,Fail
interval widening at N=2000,lgbm_direct,LGBM direct,2000,0.975,2.556229616881084,2.432779868705623,2.5980677307623012,0.002502264492753623,0.0015625,0.0037284873188405793,0.018546195652173914,0.015382699275362318,0.027233922101449273,0.15764687252912626,0.14856114686742378,0.16286087339788613,0.17391209489282966,0.168462627531735,0.18746873316545065,10,Pass
interval widening at N=2000,ridge_direct,Ridge direct,2000,0.9,2.645701413211112,2.645701413211112,2.645701413211112,0.0016191123188405796,0.001475883152173913,0.0016191123188405796,0.12202502264492754,0.10841174139492753,0.14241932744565217,0.47976911962506086,0.4258483987619857,0.5288504318595199,0.30020734856289555,0.28932637257966554,0.31291598522853875,10,Pass
interval widening at N=2000,ridge_direct,Ridge direct,2000,0.95,3.1628179656212856,2.8003740053683623,4.722061942783803,0.00026041666666666666,0.0001171875,0.0011265851449275357,0.14356600996376812,0.1275857676630435,0.16631000905797097,0.47976911962506086,0.4258483987619857,0.5288504318595199,0.3751996717136197,0.35101799734243105,0.39944207507643736,10,Pass
interval widening at N=2000,ridge_direct,Ridge direct,2000,0.975,4.6785803664709995,3.1628179656212856,5.9978070150076865,6.510416666666667e-05,0.0,0.00026041666666666666,0.16093183876811595,0.14244876585144928,0.19049309329710143,0.47976911962506086,0.4258483987619857,0.5288504318595199,0.4335892364208642,0.41089941485823794,0.46733649003653055,10,Pass
interval widening at N=2000,scratch_mlp,MLP scratch,2000,0.9,2.0976338780909227,2.0862250141452034,2.0976338780909227,0.006354732789855073,0.005989583333333334,0.007529721467391304,0.026347373188405798,0.020468183876811596,0.04013360507246375,0.643016721097232,0.28238308083264935,0.971598195793361,0.23070379443120975,0.21230682236490547,0.24084007698663534,10,Fail
interval widening at N=2000,scratch_mlp,MLP scratch,2000,0.95,2.0976338780909227,2.087992529076999,2.1126382058633086,0.006184895833333334,0.005774739583333334,0.00704200634057971,0.03547327898550724,0.025792572463768114,0.05288864356884055,0.643016721097232,0.28238308083264935,0.971598195793361,0.27620123603744534,0.25838299884113736,0.30154921593007483,10,Fail
interval widening at N=2000,scratch_mlp,MLP scratch,2000,0.975,2.0976338780909227,2.096018715271464,2.11665230039566,0.006054687500000001,0.0057161458333333335,0.006727807971014493,0.045858808876811596,0.033379189311594205,0.06279013813405794,0.643016721097232,0.28238308083264935,0.971598195793361,0.3246551804501709,0.2931852227528124,0.3459679967410233,10,Fail
interval widening at N=2000,xgb_direct,XGB direct,2000,0.9,2.3463837928851516,2.2259579751913305,2.4675951866105303,0.005004528985507246,0.0037935914855072466,0.006619112318840579,0.01358695652173913,0.010122282608695653,0.015070199275362317,0.15762701796162742,0.15372953596139433,0.1630661405477,0.10643230492767715,0.09954645217356929,0.11423876093133153,10,Fail
interval widening at N=2000,xgb_direct,XGB direct,2000,0.95,2.3914954640297963,2.319806910843501,2.503394242458706,0.004483695652173913,0.00341598731884058,0.005290987318840579,0.015885416666666666,0.013412590579710145,0.020862771739130433,0.15762701796162742,0.15372953596139433,0.1630661405477,0.13270765708017468,0.12483371647349964,0.14946357023827664,10,Fail
interval widening at N=2000,xgb_direct,XGB direct,2000,0.975,2.539339992770005,2.383295142268726,2.609654632113893,0.002921195652173913,0.002108808876811594,0.004483695652173913,0.018936820652173912,0.015700860507246377,0.023067255434782608,0.15762701796162742,0.15372953596139433,0.1630661405477,0.16449926566124315,0.15311175976977667,0.17741935057278543,10,Pass
