analysis,model,model_label,target_label_budget,interval_level,beta_false_safe_cons_median,beta_false_safe_cons_p05,beta_false_safe_cons_p95,p_false_safe_median,p_false_safe_p05,p_false_safe_p95,p_false_unsafe_median,p_false_unsafe_p05,p_false_unsafe_p95,rmse_log_median,rmse_log_p05,rmse_log_p95,q_value_log_median,q_value_log_p05,q_value_log_p95,replicate_count,gate
true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,0.9,5.9978070150076865,1.8098480887050412,5.9978070150076865,0.0,0.0,0.017844202898550723,0.9821557971014493,0.0,0.9821557971014493,0.46704938328963835,0.45392537140689215,0.5114316931595948,0.8597171761478325,0.5975105449334428,1.0069000431815707,10,Pass
true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,0.9,3.1628179656212856,2.7029275114329065,5.9978070150076865,0.00026041666666666666,0.0,0.0025011322463768075,0.07758152173913044,0.06035099637681159,0.11431329257246373,0.26073010390459866,0.24343080832464015,0.3243471033760929,0.40029969138163524,0.3544824099233021,0.4638642897651507,10,Pass
true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,0.9,2.533632337837535,2.1616542261849627,2.8277595484479914,0.0024230072463768118,0.00078125,0.005862205615942029,0.02581804800724638,0.014210824275362318,0.041978034420289856,0.18300313472778837,0.17457120311882876,0.21187413571389532,0.22506517919960164,0.19477947534820642,0.26722048847433644,10,Pass
true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,0.9,2.5616739591996325,2.3205248912297582,2.8915012396704864,0.002660778985507246,0.0007252038043478261,0.003957767210144927,0.020805027173913044,0.016319633152173912,0.030148324275362313,0.17046850243286676,0.15935026314350112,0.1729666706006891,0.181316708291233,0.16061779724990172,0.1930768505256656,10,Pass
true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,0.9,2.5028768336791094,2.2246627355341477,2.6106322336798806,0.0034420289855072463,0.0020878623188405796,0.006567028985507246,0.016276041666666664,0.011338315217391304,0.02021625905797101,0.15772190316535903,0.15357807039901245,0.16532377625624922,0.14068303665947174,0.13502092135703445,0.15811764258992905,10,Pass
true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,0.9,2.3665682189757464,2.2729384170207,2.427163616442105,0.0048743206521739135,0.00396286231884058,0.005811820652173913,0.011809329710144928,0.010122282608695653,0.01395720108695652,0.15764687252912626,0.14856114686742378,0.16286087339788613,0.1209317351523342,0.11722575370827039,0.12469503842826911,10,Fail
true event-disjoint target-label budget,ridge_direct,Ridge direct,50,0.9,3.2219927146761247,2.6724512980582658,5.9978070150076865,0.00023494112318840578,0.0,0.00148635643115942,0.2036033740942029,0.05048686594202899,0.29834324048913036,0.5529910152438939,0.3675481038321131,0.8149308954945604,0.42900337295030405,0.38429113982595675,0.5919681822237668,10,Pass
true event-disjoint target-label budget,ridge_direct,Ridge direct,100,0.9,2.9784221370713126,2.625517880455153,5.9978070150076865,0.0005095108695652174,0.0,0.002152966485507246,0.13634510869565217,0.057458956068840585,0.2305890511775362,0.40453770912133147,0.2951902520092563,0.8880409354703992,0.38058050208097693,0.2889116083204808,0.48153937136557423,10,Pass
true event-disjoint target-label budget,ridge_direct,Ridge direct,250,0.9,2.6912318741934778,2.627877780134719,4.656124740476123,0.0014492753623188406,0.0002700407608695652,0.0019641644021739122,0.14146852355072465,0.06001103940217391,0.16893087635869564,0.5262528534431563,0.33607004764248394,0.6147918756191745,0.29447748940070695,0.26520703568145415,0.3283581726331809,10,Pass
true event-disjoint target-label budget,ridge_direct,Ridge direct,500,0.9,2.645701413211112,2.63414042147927,4.591289511480333,0.0016191123188405796,0.0003643002717391304,0.0016191123188405796,0.13242470561594202,0.0774612205615942,0.15647163722826085,0.47720079988526015,0.3616936437128531,0.5982764779473834,0.3097107031417927,0.2808737353740439,0.32781095593152226,10,Pass
true event-disjoint target-label budget,ridge_direct,Ridge direct,1000,0.9,2.645701413211112,2.6365998156365227,2.645701413211112,0.0016191123188405796,0.001475883152173913,0.001762341485507246,0.11565613677536232,0.10143936820652175,0.14261916893115942,0.4633412070823447,0.4174189007225407,0.527218149560067,0.30365451238529095,0.29159550552841296,0.3121833304465345,10,Pass
true event-disjoint target-label budget,ridge_direct,Ridge direct,2000,0.9,2.645701413211112,2.645701413211112,2.645701413211112,0.0016191123188405796,0.001475883152173913,0.0016191123188405796,0.12202502264492754,0.10841174139492753,0.14241932744565217,0.47976911962506086,0.4258483987619857,0.5288504318595199,0.30020734856289555,0.28932637257966554,0.31291598522853875,10,Pass
true event-disjoint target-label budget,scratch_mlp,MLP scratch,50,0.9,2.0976338780909227,2.096018715271464,2.0976338780909227,0.006329257246376812,0.005989583333333334,0.007267040307971015,0.30296777215085635,0.1533912322957839,0.6241372282608694,1.8468446504793872,1.3631276265193946,2.9769461817765794,0.8741226863813951,0.6046746470176043,1.434708644625314,10,Fail
