model_label,rep,family,false_safe_rate,false_safe_rate_q95_event,false_unsafe_rate,coverage,true_exceed_rate,event_count
LGBM direct,0,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.010235507246376811,0.561238059947299,0.03903985507246377,8
LGBM direct,0,3F uniform T=1.8s,0.00625,0.03249999999999997,0.002717391304347826,0.5589468050065876,0.024003623188405796,8
LGBM direct,0,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5940876152832675,0.008333333333333333,8
LGBM direct,0,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.6033390974967061,0.0,8
LGBM direct,1,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.5413146409749671,0.03903985507246377,8
LGBM direct,1,3F uniform T=1.8s,0.00625,0.03249999999999997,0.002717391304347826,0.5384531455862978,0.024003623188405796,8
LGBM direct,1,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.523443675889328,0.008333333333333333,8
LGBM direct,1,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.48680418313570484,0.0,8
LGBM direct,2,3F soft-first-story T=1.8s,0.007518115942028985,0.03117753623188404,0.008152173913043478,0.5840785573122529,0.03903985507246377,8
LGBM direct,2,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.5709712615283268,0.024003623188405796,8
LGBM direct,2,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.47777091567852437,0.008333333333333333,8
LGBM direct,2,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.541691370223979,0.0,8
LGBM direct,3,3F soft-first-story T=1.8s,0.007518115942028985,0.03117753623188404,0.008152173913043478,0.5922039690382082,0.03903985507246377,8
LGBM direct,3,3F uniform T=1.8s,0.003125,0.016249999999999987,0.01358695652173913,0.5836709486166007,0.024003623188405796,8
LGBM direct,3,6F soft-first-story T=1.8s,0.005208333333333333,0.024583333333333318,0.021739130434782608,0.6082633399209486,0.008333333333333333,8
LGBM direct,3,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.6297966073781291,0.0,8
LGBM direct,4,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.008152173913043478,0.562506175889328,0.03903985507246377,8
LGBM direct,4,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.5659893774703557,0.024003623188405796,8
LGBM direct,4,6F soft-first-story T=1.8s,0.008333333333333333,0.038333333333333316,0.016304347826086956,0.5373250164690382,0.008333333333333333,8
LGBM direct,4,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5722208498023715,0.0,8
LGBM direct,5,3F soft-first-story T=1.8s,0.01116394927536232,0.03701086956521738,0.008152173913043478,0.5623847167325429,0.03903985507246377,8
LGBM direct,5,3F uniform T=1.8s,0.0036458333333333334,0.01520833333333333,0.008152173913043478,0.5804594861660078,0.024003623188405796,8
LGBM direct,5,6F soft-first-story T=1.8s,0.004166666666666667,0.016666666666666666,0.016304347826086956,0.5920083992094861,0.008333333333333333,8
LGBM direct,5,6F uniform T=1.8s,0.0,0.0,0.017346014492753623,0.6451292819499341,0.0,8
LGBM direct,6,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.010235507246376811,0.5365694993412384,0.03903985507246377,8
LGBM direct,6,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.5771080368906456,0.024003623188405796,8
LGBM direct,6,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5290596179183136,0.008333333333333333,8
LGBM direct,6,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5688694005270092,0.0,8
LGBM direct,7,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.008152173913043478,0.5485116106719368,0.03903985507246377,8
LGBM direct,7,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.002717391304347826,0.5662611166007905,0.024003623188405796,8
LGBM direct,7,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5906497035573123,0.008333333333333333,8
LGBM direct,7,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.6031497035573122,0.0,8
LGBM direct,8,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.008152173913043478,0.5195446310935441,0.03903985507246377,8
LGBM direct,8,3F uniform T=1.8s,0.004166666666666667,0.021666666666666647,0.002717391304347826,0.55274209486166,0.024003623188405796,8
LGBM direct,8,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5400238801054018,0.008333333333333333,8
LGBM direct,8,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5710844861660079,0.0,8
LGBM direct,9,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.5132946310935441,0.03903985507246377,8
LGBM direct,9,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.002717391304347826,0.5386610671936759,0.024003623188405796,8
LGBM direct,9,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.4595890974967062,0.008333333333333333,8
LGBM direct,9,6F uniform T=1.8s,0.0,0.0,0.010869565217391304,0.4994359354413702,0.0,8
