model,method,coverage_median,p_fs_median,beta_cons_median,p_fu_median,q_median,reps
lgbm_direct,Mondrian PGA-tercile,0.5433037919960475,0.005004528985507246,2.366903420544807,0.01154891304347826,0.11313881308504978,10
lgbm_direct,event-weighted,0.5585273591897233,0.005004528985507246,2.357231708058414,0.012228260869565218,0.11440950800949887,10
lgbm_direct,standard split,0.5562059967885375,0.0048743206521739135,2.373651876203189,0.011809329710144928,0.12093173515233424,10
ridge_direct,Mondrian PGA-tercile,0.4916139142786561,0.0016191123188405796,2.645701413211112,0.12222033514492753,0.29687535509076046,10
ridge_direct,event-weighted,0.4375769412878788,0.001749320652173913,2.645701413211112,0.11655344202898552,0.2757679560354886,10
ridge_direct,standard split,0.5094274950592885,0.0016191123188405796,2.645701413211112,0.12202502264492754,0.30020734856289555,10
scratch_mlp,Mondrian PGA-tercile,0.6366279129611331,0.00641983695652174,2.0976338780909223,0.02770606884057971,0.22756220709539926,10
scratch_mlp,event-weighted,0.641113667243083,0.006550045289855073,2.0932378657116697,0.02896003170289855,0.2294407673638099,10
scratch_mlp,standard split,0.6363011054841897,0.006354732789855073,2.0947061955475412,0.026347373188405798,0.23070379443120975,10
xgb_direct,Mondrian PGA-tercile,0.4940204524868248,0.005264945652173913,2.330946127082055,0.01358695652173913,0.09853832847434725,10
xgb_direct,event-weighted,0.5088937952898551,0.005264945652173913,2.327348093318289,0.013247282608695652,0.10407973765402251,10
xgb_direct,standard split,0.5228845005764163,0.005004528985507246,2.3396693793613887,0.01358695652173913,0.10643230492767715,10
