protocol,model,model_label,threshold_idr,true_exceed_rate,false_safe_rate,conditional_miss_eventequal,conditional_miss_pooled,conditional_miss_event_mean,n_unsafe_rows,n_events_with_unsafe
event-disjoint target,hgb_direct,HGB direct,0.005,0.0677083333333333,0.0008401268115942,0.012408026755852807,0.014093959731543624,0.014810213940648723,2980,3
event-disjoint target,lgbm_direct,LGBM direct,0.005,0.0677083333333333,0.000823143115942,0.012157190635451082,0.020134228187919462,0.023869335173683,2980,3
event-disjoint target,pretrained_finetune,MLP finetune,0.005,0.0677083333333333,0.0027740036231884,0.04096989966555177,0.056375838926174496,0.06930296756383714,2980,3
event-disjoint target,rf_direct,RF direct,0.005,0.0677083333333333,0.0020437047101449,0.03018394648829392,0.042953020134228186,0.04953301127214171,2980,3
event-disjoint target,ridge_direct,Ridge direct,0.005,0.0677083333333333,0.0036288496376811,0.05359531772575166,0.050335570469798654,0.052657004830917876,2980,3
event-disjoint target,scratch_mlp,MLP scratch,0.005,0.0677083333333333,0.0158367300724637,0.2338963210702332,0.3546979865771812,0.388040027605245,2980,3
event-disjoint target,xgb_direct,XGB direct,0.005,0.0677083333333333,0.0019752038043478,0.029172240802675217,0.04496644295302014,0.052127904301817345,2980,3
event-disjoint target,hgb_direct,HGB direct,0.0075,0.0354959239130434,0.0012516983695652,0.03526315789473643,0.045,0.047698412698412705,1600,3
event-disjoint target,lgbm_direct,LGBM direct,0.0075,0.0354959239130434,0.0015896739130434,0.0447846889952132,0.06625,0.06642857142857143,1600,3
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,0.0354959239130434,0.0040959012681159,0.11539074960127498,0.154375,0.2111111111111111,1600,3
event-disjoint target,rf_direct,RF direct,0.0075,0.0354959239130434,0.0041117527173913,0.1158373205741628,0.153125,0.15873015873015872,1600,3
event-disjoint target,ridge_direct,Ridge direct,0.0075,0.0354959239130434,0.0031385869565217,0.08842105263157803,0.07625,0.08857142857142858,1600,3
