model,N,subset,beta_median,pfu_median,cond_median,exceed_rows,filter
lgbm_direct,500,3-story,2.3393788876353767,0.016581748188405798,0.16806722689075632,76.0,Fail
lgbm_direct,500,6-story,4.476486931252762,0.024456521739130436,0.125,16.0,Pass
lgbm_direct,500,all,2.559906941262409,0.020805027173913044,0.14262709914883828,92.0,Pass
lgbm_direct,2000,3-story,2.2641250929055987,0.007314311594202898,0.24929971988795518,76.0,Fail
lgbm_direct,2000,6-story,2.4977054744123723,0.016304347826086956,0.8333333333333333,16.0,Fail
lgbm_direct,2000,all,2.3723228254577355,0.011809329710144928,0.34069473199907985,92.0,Fail
ridge_direct,500,3-story,2.4020305254184104,0.14416326992753625,0.09523809523809523,76.0,Fail
ridge_direct,500,6-story,5.9978070150076865,0.12052762681159421,0.0,16.0,Pass
ridge_direct,500,all,2.645701413211112,0.13242470561594202,0.08465608465608465,92.0,Pass
ridge_direct,2000,3-story,2.4020305254184104,0.12974977355072465,0.09523809523809523,76.0,Fail
ridge_direct,2000,6-story,5.9978070150076865,0.11430027173913043,0.0,16.0,Pass
ridge_direct,2000,all,2.645701413211112,0.12202502264492754,0.08465608465608465,92.0,Pass
scratch_mlp,500,3-story,1.9339034489928568,0.055089447463768114,0.3511904761904762,76.0,Fail
scratch_mlp,500,6-story,2.350464423109078,0.04416326992753623,0.5,16.0,Fail
scratch_mlp,500,all,2.0976338780909223,0.04980751811594203,0.35185185185185186,92.0,Fail
scratch_mlp,2000,3-story,1.9339034489928568,0.030230978260869564,0.375,76.0,Fail
scratch_mlp,2000,6-story,2.350464423109078,0.023092164855072463,0.5625,16.0,Fail
scratch_mlp,2000,all,2.0976338780909223,0.026347373188405798,0.3703703703703704,92.0,Fail
xgb_direct,500,3-story,2.1996846941571744,0.016191123188405796,0.23669467787114842,76.0,Fail
xgb_direct,500,6-story,2.4701348645091663,0.021999547101449274,0.8333333333333333,16.0,Fail
xgb_direct,500,all,2.375025168630943,0.019044384057971014,0.30883367839889575,92.0,Fail
xgb_direct,2000,3-story,2.244166613094172,0.009352355072463767,0.288515406162465,76.0,Fail
xgb_direct,2000,6-story,2.4977054744123723,0.016304347826086956,0.8333333333333333,16.0,Fail
xgb_direct,2000,all,2.3341929439152147,0.01358695652173913,0.3632390154129284,92.0,Fail
