gm_id,event_id,event_title,event_page_url,zip_url,magnitude,file_name,station,component,problem_flag,structure_type,sample_rate_hz,dt_original_s,n_original,pga_original_g,pga_g,pgv_m_s,pgd_m,arias_m_s,cav_m_s,d5_95_s,tm_s,pgv_pga_s
0,20100227_0634,"20100227 06:34 UTC, Offshore Maule, Chile, Mw 8.8 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20100227_0634.html,https://ca.water.usgs.gov/nsmp/20100227_0634/zips/20100227_0634_corr.zip,8.8,CCSP.HNE.._a.smc,"Colegio San Pedro, Concepcion",97,1,-32768,100.0,0.01,20200,0.6051987767584098,0.5912969887252226,0.448796324269443,0.2644117940666512,11.0408274201452,41.03191377440896,32.50932545793645,0.4381395551020843,0.07737035982616527
1,20100227_0634,"20100227 06:34 UTC, Offshore Maule, Chile, Mw 8.8 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20100227_0634.html,https://ca.water.usgs.gov/nsmp/20100227_0634/zips/20100227_0634_corr.zip,8.8,CCSP.HNN.._a.smc,"Colegio San Pedro, Concepcion",7,1,-32768,100.0,0.01,20200,0.6506829765545362,0.6475340746196804,0.38209944481088914,0.14306102187086045,10.201765140129451,38.96355828998667,36.756262439501384,0.3924027045848958,0.06015126601187033
2,20070912_1110,"20070912 11:10 UTC, Southern Sumatra, Indonesia, Mw 8.4 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070912_1110.html,https://ca.water.usgs.gov/nsmp/20070912_1110/zips/20070912_1110_corr.zip,8.4,200709121110_pski.to.hne.._a.smc,"Sikuai Island, West Sumatra",90,-32768,-32768,200.0,0.005,25800,0.03756065239551478,0.03729055381452887,0.03915026617682533,0.09586053465769674,0.03646537245190791,2.3387204584122125,31.321277280673414,0.5129343089802132,0.10702047604699555
3,20070912_1110,"20070912 11:10 UTC, Southern Sumatra, Indonesia, Mw 8.4 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070912_1110.html,https://ca.water.usgs.gov/nsmp/20070912_1110/zips/20070912_1110_corr.zip,8.4,200709121110_pski.to.hnn.._a.smc,"Sikuai Island, West Sumatra",360,-32768,-32768,200.0,0.005,25800,0.040792048929663614,0.04041557589651298,0.042228628694597564,0.10058265142323453,0.0495491203668333,2.6493229304638946,29.74112727927699,0.4337246552844681,0.10650970937790459
4,20070912_2349,"20070912 23:49 UTC, Kepulauan Mentawai Region, Indonesia, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070912_2349.html,https://ca.water.usgs.gov/nsmp/20070912_2349/zips/20070912_2349_corr.zip,7.9,200709122349_pski.to.hne.._a.smc,"Sikuai Island, West Sumatra",90,-32768,-32768,200.0,0.005,33800,0.11597349643221203,0.1135776552888597,0.08584996045781262,0.0882873852308555,0.3850419099118264,7.5993449215275835,33.151098596992966,0.25690143355209477,0.07705098469350215
5,20070912_2349,"20070912 23:49 UTC, Kepulauan Mentawai Region, Indonesia, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070912_2349.html,https://ca.water.usgs.gov/nsmp/20070912_2349/zips/20070912_2349_corr.zip,7.9,200709122349_pski.to.hnn.._a.smc,"Sikuai Island, West Sumatra",360,-32768,-32768,200.0,0.005,33800,0.126493374108053,0.12597652103186785,0.07460664324566735,0.14048866125862972,0.5573522153457318,9.174820973783703,33.870139752357225,0.2529345106737607,0.06036968117606448
6,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,0528a_a.smc,AK:Eagle River;Alaska Geol Mat,360,-32768,-32768,200.0,0.005,10000,0.006073088685015291,0.005988620647300015,0.011164575635814052,0.026006846332561825,0.001227542838592042,0.43277725198699946,32.16503072843083,0.5781072113185983,0.19004060727762206
7,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,0528c_a.smc,AK:Eagle River;Alaska Geol Mat,90,-32768,-32768,200.0,0.005,10000,0.0055710499490316005,0.005509081374234373,0.020846990976349532,0.05919898966182219,0.0013029292904639903,0.44083906076351537,35.26186894852466,0.6514411995904693,0.38574045079388136
8,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,0593a_a.smc,"AK:Fairbanks; Geoph Inst, CIGO",360,-32768,-32768,200.0,0.005,46800,0.07061162079510704,0.070241502205551,0.06284779443422993,0.0327620817620572,0.15171619405010897,4.41297164199176,25.47634230406984,0.4483152800958334,0.09120680508346098
9,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,0593b_a.smc,"AK:Fairbanks; Geoph Inst, CIGO",UP,-32768,-32768,200.0,0.005,46800,0.048059123343527015,0.04780976736983398,0.03599587581309116,0.04695993237307966,0.05813667728984702,2.7580053980043675,25.81433790363189,0.32534364502482843,0.07674800707239286
